,Action,Transaction Date,Time,Ticker,Name,No. of shares,Price / share,Price / share adjusted for split(s),Currency (Price / share),Exchange rate,Result of Sell,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Notes,ID,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Marker Size
0,Deposit,2020-04-30,17:20:49,,,,,,,,,,1000.0,GBP,,,1000,GBP,,,,71c8854b-7580-427e-a533-e8fba79e6db1,,,,,,,9.078461353645835
1,Market buy,2020-04-30,17:21:18,PBCT,People's United Financial,50.0,12.76,,USD,1.25847,,GBP,506.96,GBP,,,,,,,,EOF194834082,,,,,,,7.065825521954087
2,Deposit,2020-05-04,10:43:01,,,,,,,,,,9.35,GBP,,,9.35,GBP,,,Free Shares Promotion,e115471e-f0f2-46a9-a510-78e0ab283f2e,,,,,,,5.034534518773552
3,Market buy,2020-05-04,10:43:01,NG,National Grid,1.0,929.8,,GBX,100,,GBP,9.34,GBP,,,,,0.05,GBP,,EOF197523693,,,,,,,5.034493697829375
4,Market buy,2020-05-04,15:39:01,T,AT&T,15.0,29.34,,USD,1.24252,,GBP,354.19,GBP,,,,,,,,EOF198326960,,,,,,,6.442203957765485
5,Deposit,2020-05-11,17:17:25,,,,,,,,,,500.0,GBP,,,500,GBP,,,Transaction ID: 1855892174452842,f853c15b-de57-4843-bf7b-5e7f279539cb,,,,,,,7.037414144807051
6,Market buy,2020-05-11,17:17:53,META,Meta Platforms,2.5,213.32,,USD,1.23427,,GBP,432.07,GBP,,,,,,,,EOF206854492,,,,,,,6.760117471014214
7,Deposit,2020-05-18,17:55:13,,,,,,,,,,500.0,GBP,,,500,GBP,,,Transaction ID: 4725898245125699,5860d694-a7da-4834-85c9-0ce5d22052c5,,,,,,,7.037414144807051
8,Market buy,2020-05-18,17:55:24,WELL,Welltower,15.0,44.68,,USD,1.2196,,GBP,549.51,GBP,,,,,,,,EOF216691130,,,,,,,7.239518639426267
9,Deposit,2020-05-28,20:23:35,,,,,,,,,,1000.0,GBP,,,1000,GBP,,,Transaction ID: 4525906974155480,c0a3b932-ea94-4b36-bfd8-14ec7eb2d1f4,,,,,,,9.078461353645835
